Uuid,Void/Retire,Same as mappings,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
ec1d2aab-f420-4442-94cc-425158e6d6e5,,CIEL:81944;SNOMED:373500002,,Pheniramine,Phéniramine,Drug,N/A,,,
a83d9a71-15da-4b26-81e6-c7845e3f5986,,CIEL:81946;SNOMED:116546005,,Pheniramine Maleate,Maléate de pheniramine,Drug,N/A,,,
172ca645-fdf5-4b81-b521-ded7718a869f,,CIEL:81951;SNOMED:373505007,,Phenobarbitone,Phenobarbitone,Drug,N/A,,,
885e1f5c-ad78-4614-98a6-b03760030a11,,CIEL:82023;SNOMED:387220006,,Phenytoin,Phénytoïne,Drug,N/A,,,
818ef5bc-4455-4c4d-ba15-a9082ec416e9,,UNK:9592774940,,Pilex,Pilex,Drug,N/A,,,
bcd42942-6c33-4195-a857-e3b62da29711,,UNK:2756673768,,Polyvalent Anti Snake Serum,Antivenin de serpent polyvalent,Drug,N/A,,,
a5547d6c-7e42-4a50-94e2-8e6e73aa6afe,,CIEL:82350;SNOMED:8631001,,Potassium Chloride,Chlorure de potassium,Drug,N/A,,,
159bc783-b046-433f-93ef-9b33496f962e,,CIEL:82446;SNOMED:116601002,,Prednisolone,Prednisolone,Drug,N/A,,,
2e873fde-66b3-41b4-bdb7-1c29c8d5e1cf,,CIEL:82521;SNOMED:429663004,,Primaquine,Primaquine,Drug,N/A,,,
5ec1c55d-1874-4616-a950-585453a5b710,,CIEL:82576;SNOMED:22827004,,Prochlorperazine Maleate,Maléate de prochlorperazine,Drug,N/A,,,
983d2877-a259-4a77-8f0e-985e5b97fec7,,CIEL:82667;SNOMED:372871004,,Promethazine,Promethazine,Drug,N/A,,,
5dd2c915-f10d-4e97-945d-bd62d7eae63c,,CIEL:82670;SNOMED:14905007,,Promethazine Hydrochloride (HCl),Hydrochlorure de promethazine (HCl),Drug,N/A,,,
ed70dd9f-fa19-48e9-9218-ce2998c63c49,,CIEL:82726;SNOMED:387423006,,Propofol,Propofol,Drug,N/A,,,
062fc7f6-3d11-409a-96f7-a60cd8a71a36,,CIEL:82732;SNOMED:372772003,,Propranolol,Propranolol,Drug,N/A,,,
14f9dc07-8881-41fe-aee6-0f2ab502d0c3,,CIEL:82912;SNOMED:430469009,,Pyridoxine,Pyridoxine,Drug,N/A,,,
35191c44-1b60-4f6f-b378-d3bc34b83612,,CIEL:105232;SNOMED:777371007,,Pyrimethamine Sulfadoxine,Pyrimethamine et sulfadoxine,Drug,N/A,,,
a0660319-fed1-4830-ad75-4c9e02519fc5,,SNOMED:387013009,,Rabeprazole Sodium,Rabéprazole sodique,Drug,N/A,,,
4c187e9c-3623-4763-94b4-86426e6a447f,,CIEL:83075;SNOMED:372755005,,Ranitidine,Ranitidine,Drug,N/A,,,
54528cf8-0022-4f32-a038-cbb2d5965ae5,,CIEL:86339;SNOMED:82622003,,Vitamin A,Vitamine A,Drug,N/A,,,
b85c29f2-21fe-4384-ab1e-b98f35112702,,CIEL:83405;SNOMED:386840002,,Risperidone,Risperidone,Drug,N/A,,,
b368b7f7-f87b-4414-9537-1f6bee82e448,,UNK:4139701832,,Ringers Lactate (RL),Ringers lactate (RL),Drug,N/A,,,
9088359a-587f-4dbc-b13e-b3c38a07cd85,,CIEL:798;SNOMED:372897005,,Salbutamol,Salbutamol,Drug,N/A,,,
1dd509c8-b38b-4e7e-abde-8fc87652efc5,,SNOMED:91143003,,Salbutamol & Bromhexine,Salbutamol et bromhexine,Drug,N/A,,,
702e6e2b-6098-4b48-9398-897faffe9e66,,SNOMED:373757009,,Saline,Saline,Drug,N/A,,,
26eafc63-b224-4b57-afb9-55c7c4a7686e,,SNOMED:387112002,,Silver Sulphadiazene,Sulphadiazene argentique,Drug,N/A,,,
c5d5c9ba-02fe-4c57-ad35-db23e8138561,,CIEL:84114;SNOMED:387481005,,Sodium Valproate,Valproate sodique,Drug,N/A,,,
faf8d008-954e-4257-a042-8a19bb2835d6,,SNOMED:387367007,,Soluzinc,Soluzinc,Drug,N/A,,,
d4c72168-24b0-4d22-ba60-848e7c146333,,CIEL:84239;SNOMED:387078006,,Spironolactone,Spironolactone,Drug,N/A,,,
becdbefb-d88b-4a21-affa-46a2c5dbdbdb,,CIEL:105281;SNOMED:777642002,,Sulfamethoxazole & Trimethoprim,Sulfaméthoxazole et triméthoprime,Drug,N/A,,,
7d576a6f-1755-44f5-8fd6-2b3a848c6bb5,,CIEL:84877;SNOMED:427004002,,Tetanus Antitoxin,Antitoxine tétanique,Drug,N/A,,,
f97877a1-a7c1-4965-9c49-8cd5ad0c0a70,,SNOMED:425682001,,Tetanus Immunoglobulin,Immunoglobuline tétanique,Drug,N/A,,,
70197a8d-7242-4c27-8ece-9daf294d01d7,,CIEL:84879;SNOMED:2021000221101,,Tetanus Toxoid,Anatoxine tétanique,Drug,N/A,,,
98b66058-5de5-4a1e-85ef-ec981bee6ad3,,SNOMED:372809001,,Tetracycline Ophtalmic,Tétracycline opthalmique,Drug,N/A,,,
49abc01a-a419-4941-9d9b-8c6eacc105b0,,CIEL:85151;SNOMED:395907001,,Tinidazole,Tinidazole,Drug,N/A,,,
5d750d5c-8d7f-4917-a4db-42a252f1f42a,,CIEL:85178;SNOMED:373440006,,Tizanidine,Tizanidine,Drug,N/A,,,
34daf0c8-739f-4649-9d96-b45a32a233d6,,CIEL:85275;SNOMED:386858008,,Tramadol,Tramadol,Drug,N/A,,,
c6557538-cc7e-4ca8-bfeb-80ff5c4f4976,,CIEL:85286;SNOMED:386960009,,Tranexamic Acid,Acide tranéxamique,Drug,N/A,,,
89c0742a-477b-4292-bf7d-b9e57aa002f0,,CIEL:85356;SNOMED:116594009,,Triamcinolone,Triamcinolone,Drug,N/A,,,
ace96e9a-ad72-49bc-a662-49f9b143f05c,,CIEL:85463;SNOMED:387120000,,Trihexyphenidyl,Trihexyphénidyl,Drug,N/A,,,
2e5adbd4-8ddf-4848-ade4-ebd8d16e9c3f,,CIEL:85622;SNOMED:70841003,,Trypsin Chymotrypsin,Trypsine et chymotrysine,Drug,N/A,,,
0a3353a4-ddf7-4a65-b882-3da94520c565,,SNOMED:108731003,,Tuberculin Purified Protein Derivative (PPD),Tuberculine (PPD),Drug,N/A,,,
ffa61758-5521-463b-a8a6-ca074f407fd2,,CIEL:86052;SNOMED:387080000,,Valproic Acid,Acide valproïque,Drug,N/A,,,
040cf656-a2ac-4807-923f-a35eec824f0f,,CIEL:86176;SNOMED:372754009,,Verapamil,Vérapamil,Drug,N/A,,,
836b7f4c-9e3c-4a53-bb08-ab8990b5b9d8,,CIEL:86341;SNOMED:768761005,,Vitamin B Complex,Complexe de vitamines B,Drug,N/A,,,
62f323dd-2a15-43b3-a633-08114aa4984d,,CIEL:86352;SNOMED:65183007,,Vitamin K,Vitamine K,Drug,N/A,,,
5e97fe35-58df-4925-bba7-7c49d75268a1,,CIEL:86415;SNOMED:372756006,,Warfarin,Warfarine,Drug,N/A,,,
e3d3ea1c-4e80-49d6-8e0c-57680f0139d5,,CIEL:86688;SNOMED:387367007,,Zinc Sulphate,Sulphate de zinc,Drug,N/A,,,
095d1d67-1f62-4731-aa4e-a76bb77f2fa9,,CIEL:79691;SNOMED:37656002,,Methimazole,Méthimazole,Drug,N/A,,,
3440c780-b5ff-4b47-82e2-e0b8fc16bc89,,CIEL:70116;SNOMED:387517004,,Acetaminophen,Acétaminophene,Drug,N/A,,,
e770a760-5e8b-42d8-939f-c7b12ea3754f,,UNK:3905069854,,Multi-Vitamin Adult,Multi-vitamines adulte,Drug,N/A,,,
8a52cbaf-7303-44a8-ba47-976c4104f9d7,,SNOMED:412250002,,Multi-Vitamin Children,Multi-vitamines enfants,Drug,N/A,,,
564a7a84-148f-4814-a520-d0351dbea6dc,,UNK:6661447776,,Multi-Vitamin Prenatal,Multi-vitamines prénatal,Drug,N/A,,,
1e10d8c9-36f0-4d6b-8ff6-7a453876d512,,CIEL:71652;SNOMED:387506000,,Tenormin,Tenormin,Drug,N/A,,,
fe5a3fbb-4a2d-4ca0-9eda-737e17d96f52,,CIEL:78945;SNOMED:386873009,,Lisinopril,Lisinopril,Drug,N/A,,,
